Title,DOI,Year
"Interactive Elicitation of Resilience Scenarios Based on Hazard Analysis Techniques","10.1007/978-3-031-15116-3_11",2022
"Benchmarking Heterogeneous Cloud Functions","10.1007/978-3-319-75178-8_34",2018
"Automated Integration of Continental-Scale Observations in Near-Real Time for Simulation and Analysis of Biosphere–Atmosphere Interactions","10.1007/978-3-030-63393-6_14",2020
"Deep Learning in the Wild","10.1007/978-3-319-99978-4_2",2018
"Machine Learning for Cloud Resources Management—An Overview","10.1007/978-981-19-3035-5_67",2023
"Performance Comparison of Two Java-Based Actor Systems","10.1007/978-981-16-1781-2_9",2022
"Sandboxing the Cyberspace for Cybersecurity Education and Learning","10.1007/978-3-030-66504-3_11",2020
"Scalable Discovery and Continuous Inventory of Personal Data at Rest in Cloud Native Systems","10.1007/978-3-031-20984-0_36",2022
"The Benefits of Using Experimental Exploration for Cloud Migration Analysis and Planning","10.1007/978-3-319-94959-8_9",2018
"A Novel Design Approach Exploiting Data Parallelism in Serverless Infrastructure","10.1007/978-981-33-6977-1_20",2021
"Formal Software Architectural Migration Towards Emerging Architectural Styles","10.1007/978-3-030-58923-3_2",2020
"DevOps Meets Dynamic Orchestration","10.1007/978-3-030-06019-0_11",2019
"Identification of Comparison Key Elements and Their Relationships for Cloud Service Selection","10.1007/978-3-030-44769-4_6",2020
"The Interoperability Challenge: Building a Model-Driven Digital Thread Platform for CPS","10.1007/978-3-030-89159-6_25",2021
"Modular Quality-of-Service Analysis of Software Design Models for Cyber-Physical Systems","10.1007/978-3-031-34560-9_6",2023
"Measuring Application Security","10.1007/978-3-319-94782-2_5",2019
"Will Cloud Gain an Edge, or, CLOSER, to the Edge","10.1007/978-3-030-29193-8_2",2019
"Hybrid Grouping Genetic Algorithm for Large-Scale Two-Level Resource Allocation of Containers in the Cloud","10.1007/978-3-030-97546-3_42",2022
"An Event-Based Architecture for Cross-Breed Multi-population Bio-inspired Optimization Algorithms","10.1007/978-3-030-43722-0_44",2020
"Scalable Online Monitoring of Distributed Systems","10.1007/978-3-030-60508-7_11",2020
"Towards Longitudinal Data Analytics in Parkinson’s Disease","10.1007/978-3-319-49655-9_9",2017
"Digital Disruption in Major Ports with Special Reference to Chennai Port, Kamarajar Port, and Tuticorin Port","10.1007/978-981-19-9379-4_8",2023
"Usability of Visual Data Profiling in Data Cleaning and Transformation","10.1007/978-3-319-69459-7_32",2017
"Investigating Performance and Cost in Function-as-a-Service Platforms","10.1007/978-3-030-33509-0_16",2020
"Software-Defined Multi-cloud Computing: A Vision, Architectural Elements, and Future Directions","10.1007/978-3-319-95162-1_1",2018
"Design of IoT Blockchain Based Smart Agriculture for Enlightening Safety and Security","10.1007/978-981-13-8300-7_2",2019
"Study on the Organization and Governance of Bigdata for Lifelong Education","10.1007/978-3-030-97774-0_45",2022
"A Comprehensive Enterprise System Metamodel for Quality Assurance","10.1007/978-981-33-6385-4_23",2021
"Upilio: Leveraging the Serverless Paradigm for Building a Versatile IoT Application","10.1007/978-3-031-04718-3_8",2022
"DLPFS: The Data Leakage Prevention FileSystem","10.1007/978-3-031-16815-4_21",2022
"Leveraging AI in Service Automation Modeling: From Classical AI Through Deep Learning to Combination Models","10.1007/978-3-030-33702-5_14",2019
"Regulation and Validation Challenges in Artificial Intelligence-Empowered Healthcare Applications—The Case of Blood-Retrieved Biomarkers","10.1007/978-3-031-17583-1_8",2023
"A Methodology for Tenant Migration in Legacy Shared-Table Multi-tenant Applications","10.1007/978-3-030-78198-9_1",2021
"A Containerized Edge Cloud Architecture for Data Stream Processing","10.1007/978-3-030-49432-2_8",2020
"A Distributed Ledger Approach to Digital Twin Secure Data Sharing","10.1007/978-3-030-22479-0_15",2019
"Short Paper: Stress-SGX: Load and Stress Your Enclaves for Fun and Profit","10.1007/978-3-030-05529-5_24",2019
"Empowering Low-Latency Applications Through a Serverless Edge Computing Architecture","10.1007/978-3-319-67262-5_15",2017
"Aligning IIoT and ISA-95 to Improve Asset Management in Process Industries","10.1007/978-3-030-64228-0_14",2021
"Exit-Less Hypercall: Asynchronous System Calls in Virtualized Processes","10.1007/978-3-030-38991-8_12",2020
"Decentralized Architecture for Energy-Aware Service Assembly","10.1007/978-3-030-58923-3_4",2020
"Better Call the Plumber: Orchestrating Dynamic Information Extraction Pipelines","10.1007/978-3-030-74296-6_19",2021
"Comparing SLAs for Cloud Services: A Model for Reasoning","10.1007/978-3-030-00063-9_18",2018
"Container-Based Virtualization for Real-Time Data Streaming Processing on the Edge Computing Architecture","10.1007/978-3-030-06158-6_21",2019
"Improving Architectural Reusability for Resource Allocation Framework in Futuristic Cloud Computing Using Decision Tree Based Multi-objective Automated Approach","10.1007/978-3-031-23092-9_32",2022
"HYPpOTesT: Hypothesis Testing Toolkit for Uncertain Service-Based Web Applications","10.1007/978-3-030-34968-4_27",2019
"Analysis and Improvement of Heterogeneous Hardware Support in Docker Images","10.1007/978-3-030-78198-9_9",2021
